0,1
1,0
0,2
2,0
0,3
3,0
0,4
4,0
1,5
5,1
1,6
6,1
1,7
7,1
1,8
8,1
2,9
9,2
3,10
10,3
3,11
11,3
3,12
12,3
3,13
13,3
4,14
14,4
4,15
15,4
4,16
16,4
4,17
17,4
5,18
18,5
5,19
19,5
6,20
20,6
6,21
21,6
6,22
22,6
6,23
23,6
8,24
24,8
8,25
25,8
8,26
26,8
9,27
27,9
9,28
28,9
10,29
29,10
10,30
30,10
10,31
31,10
12,32
32,12
12,33
33,12
12,34
34,12
13,35
35,13
13,36
36,13
13,37
37,13
14,38
38,14
15,39
39,15
15,40
40,15
16,41
41,16
16,42
42,16
16,43
43,16
17,44
44,17
17,45
45,17
17,46
46,17
18,47
47,18
18,48
48,18
19,49
49,19
19,50
50,19
19,51
51,19
20,52
52,20
20,53
53,20
20,54
54,20
21,55
55,21
21,56
56,21
21,57
57,21
24,58
58,24
24,59
59,24
24,60
60,24
25,61
61,25
26,62
62,26
26,63
63,26
27,64
64,27
27,65
65,27
30,66
66,30
30,67
67,30
30,68
68,30
31,69
69,31
31,70
70,31
32,71
71,32
32,72
72,32
32,73
73,32
33,74
74,33
33,75
75,33
33,76
76,33
33,77
77,33
34,78
78,34
34,79
79,34
34,80
80,34
34,81
81,34
35,82
82,35
35,83
83,35
36,84
84,36
36,85
85,36
36,86
86,36
38,87
87,38
38,88
88,38
38,89
89,38
38,90
90,38
39,91
91,39
40,92
92,40
40,93
93,40
40,94
94,40
41,95
95,41
41,96
96,41
42,97
97,42
42,98
98,42
42,99
99,42
